Altersgruppe, Meldedatum, value
>=80, 2022-05-05, 295.5
>=80, 2022-05-06, 281.5
>=80, 2022-05-07, 269.4
>=80, 2022-05-08, 262.9
>=80, 2022-05-09, 260.6
>=80, 2022-05-10, 254.4
>=80, 2022-05-11, 244.4
>=80, 2022-05-12, 233
>=80, 2022-05-13, 222
>=80, 2022-05-14, 215.9
>=80, 2022-05-15, 212.8
>=80, 2022-05-16, 211.4
>=80, 2022-05-17, 202.3
>=80, 2022-05-18, 191.2
>=80, 2022-05-19, 181.8
>=80, 2022-05-20, 172.1
>=80, 2022-05-21, 162.4
>=80, 2022-05-22, 159.1
>=80, 2022-05-23, 157.8
>=80, 2022-05-24, 149.9
>=80, 2022-05-25, 139.8
>=80, 2022-05-26, 129.5
>=80, 2022-05-27, 108.8
>=80, 2022-05-28, 105.3
>=80, 2022-05-29, 103.5
>=80, 2022-05-30, 103.2
>=80, 2022-05-31, 99.8
>=80, 2022-06-01, 97.8
>=80, 2022-06-02, 98.9
>=80, 2022-06-03, 115.3
>=80, 2022-06-04, 116.9
>=80, 2022-06-05, 117.1
>=80, 2022-06-06, 117.4
>=80, 2022-06-07, 98.9
>=80, 2022-06-08, 110.1
